"","segment","trait","BM_loglik","BM_aicc","BM_z0","OU_loglik","OU_aicc","OU_z0"
"1","segment_10270_10563","GC Content",102.526381069453,-200.709904996048,0.459619718019391,102.589161877046,-198.47244140115,0.4560368673435
"2","segment_10270_10563","Longest ORF",91.7720709445355,-179.201284746214,0.281024717112123,91.7890527681746,-176.872223183408,0.281021967495375
"3","segment_10270_10563","Percent of A",122.492782669842,-240.642708196827,0.225201516669207,122.520406881832,-238.334931410723,0.226091481744855
"4","segment_10270_10563","Longest ORF (Alan)",-145.995578558076,296.33401425901,47.701819736746,-143.260234841215,293.226352035371,37.2167668654526
"5","segment_10270_10563_141_191","GC Content",104.988280048659,-205.63370295446,0.428738605469855,105.206425281033,-203.706968209124,0.419839714348908
"6","segment_10270_10563_141_191","Longest ORF",174.524270940412,-344.705684737966,0.320623637584956,180.856317686082,-355.006753019222,0.321936635442311
"7","segment_10270_10563_141_191","Percent of A",117.792978659165,-231.243100175472,0.164607789734912,117.806503811295,-228.907125269649,0.167233049369424
"8","segment_10270_10563_141_191","Longest ORF (Alan)",-87.8253285121691,179.993514167195,4.5072089069493,-85.8136257303744,178.33313381369,4.69314567303148
"9","segment_11196_11705","GC Content",124.994966399859,-245.656599466384,0.404504668181872,125.003727622843,-243.321740959972,0.404504659225015
"10","segment_11196_11705","Longest ORF",105.736666428721,-207.139999524109,0.140189107138253,105.73757265122,-204.789431016726,0.140189107626127
"11","segment_11196_11705","Percent of A",138.907894086612,-273.48245483989,0.29272930187363,138.998726823908,-271.311739362102,0.292729312784453
"12","segment_11196_11705","Longest ORF (Alan)",-160.742613560956,325.818560455245,41.2672060579327,-150.500365384268,307.686445054251,43.4875629721512
"13","segment_11196_11705_116_166","GC Content",157.0388072118,-309.744281090267,0.432278784659161,157.040068385268,-307.394422484822,0.43227878482654
"14","segment_11196_11705_116_166","Longest ORF",274.932377930448,-545.531422527562,0.326064749167753,274.93324036967,-543.180766453626,0.326064749165411
"15","segment_11196_11705_116_166","Percent of A",154.455259445863,-304.577185558392,0.357150046274115,154.494434833068,-302.303155380422,0.35779881143686
